,idpAgreement,acc,trustFactor,trustSurvey,workerId
152,50,80,"I am pretty sure that algorithms can be developed to estimate changes of compatibility. Still not all variables can be taken into account and it tries to predict human behavior. Humans are notoriously unpredictable.,",3,AXPBPXPFGL1VH
153,80,50,"Very interesting,",6,A4RUONDQQP7SJ
154,80,80,"good study,",4,A20Q20DY84HUBZ
155,80,80,"GOOD WORK,",5,A28RKM9Q1FIZEK
156,80,80,"It seemed off for the first few that it disagreed with me. ,",4,A3104SZBKEKVFM
157,80,50,"It seemed to have a mind of its own which was good but I trusted my own instincts too,",4,A2A6FH0F7LD9ND
158,80,50,"The machine learning model only being 50% accurate throughout half of the survey made me distrust it. ,",3,A38LEVBZ3P5F6T
159,80,80,"very nice,",6,A3347XWYJPX7QZ
160,50,50,"Love is a very strange thing. I don't think a machine will ever figure it out but I know I am WORSE at it than everybody so I 60% of the time roll with the machine.,",5,A37P8UZ3SAKM7A
161,80,50,"I did not trust it because it seemed random in its predictions but they did often align with mine so I trust it somewhat.,",3,ANVAFB99K5RKP
162,50,50,"GOOD SURVEY,",3,A32HSZ2F5S0EVS
163,80,50,"Because it was only fifty percent correct so I trust it only about that much.,",4,ANJJQV9EY4QQ4
164,50,50,"Sometimes the machine's predictions seemed obviously incorrect.  For example, sometimes a person would rate their date's attributes high and how much they liked their date as high, but the machine would predict they didn't want to see their date again.  This seems pretty unlikely in the real world.,",4,A30GCTXJ17JC3I
165,80,80,"Certainly there were times where the guy was super obviously happy with the date and it disagreed that he'd want to see her again,",3,A102NBAO98UAD8
166,50,80,"At first I did not trust the model that much but then the study said that it had predicted 80 percent correctly in the last 20 questions so I trust it more after hearing that but not 100 percent.,",5,A3N4L5F7CEY0B2
167,50,50,"SOME ONE VERY INTERESTING STUDY WORK,",5,AI980257EB0RK
168,80,80,"The machine learning model is mostly right, but not all the time, so I can't put my full trust in it.,",5,A1PKCBFB4QY19G
169,50,50,"50% is about as good as a lacrosse goalie, whom I do not trust with my life. If that is what the machine learning model's percentage is, then why the heck would I trust it over the toss of a coin, especially when it was clearly wrong on several scenarios!?,",2,AU2NVT51E749C
170,80,50,"I trusted it most of the time because it agreed with me.,",4,A1QB42OYEG1553
171,50,50,"I don't trust it because if a participant rated his/her date highly it would sometimes say they would not want a second date.,",3,A288RSAGJBLY9
172,50,80,"A few of the predictions seemed obviously off to me, which made me start to doubt its accuracy.,",4,A23NUJAGS4J5N
173,50,50,"I don't have that much trust in machine's prediction because, the machine cannot be as accurate as like the human thoughts.,",2,A1O8D22H0D03W1
174,50,80,"predictions seemed off in general and inconsistent,",2,A3T1AU8XOEZZXY
175,80,50,"Some of he times i was pretty much certain of my decision the machine was disagreeing so i dont have total confidence in it,",4,A3GDTSFHVBUJHD
176,50,80,"I have mixed feelings because something it was obvious that someone would want to see the other person again and the model would ddisagree, however it was correct on a lot of them.,",5,ANQ0RLFEZ17W0
177,80,80,"Sometimes when the machine learning model disagreed with me I couldn't figure out why which decreased my trust in it's choice.,",4,A2UAGNKP1BPON
178,80,50,"For the first 20 examples, I thought the machine was making predictions which I didn't agree with a lot more often.\nIn the last part after the break, I was less certain in my disagreements with the machine, though I stuck by them.,",5,A3DXLNAW0VJXBR
179,50,50,"Its 50% correct so I have somewhat trust in it. ,",4,AQ3HYOMBERB6D
180,50,80,"The machine seemed to be off with its predictions ,",1,A1940HXCOGYQ33
181,50,80,"well it is right 80% of the time so I have a lot but not complete trust in it as a result.,",6,A2ZJS73XSSMRTD
182,80,80,"I trust the prediction of the machine learning model because it correspond with my own analysis.,",6,A133QICISFDGCP
183,50,50,"I did the majority of my choosing with the last two boxes of the dating sheet. Based on this I think I did better then the computer, The computer For the most part -- I believe -- was random, and couldn't trust it.,",2,A1BNYBF79IQ89T
184,80,80,"it seem to agree with me for the most part and when it didn't i could see why, i only notice a few times its choices seemed wrong to me,",6,A1AYMXZRDWWOER
185,50,80,"i trust the machine because our predictions are to a large extent similar, we had a 80% similarities for 20 predictions.,",5,A1TAITQ1S1AO5G
186,50,80,"represents totally trust,",5,A3JKTMLUUCR46A
187,80,50,"We disagreed on what I thought were some obvious ones, so I stuck to my guns.,",3,AXY0D2AMLKE2A
188,50,80,"I did not trust the machine learning model during the first half of questions, until I learned it was 80% accurate and then I trusted it to a great extent,",6,A1EBGIM9CZTQLX
189,50,80,"Totally trust.,",7,A1JJ08HLIJ5HES
190,50,80,"the machine learning model was USELESS,",1,A39GADIK8RLMVC
191,80,50,"yes, the briefly explain is very smart adjustment in table is the trust the predictions of our machine learning model.,",5,AR2W2OCQVVMEY
192,50,80,"i have trust the predictions of our machine learning model.,",4,A248XX9O9V58EK
193,80,80,"When the prediction was opposite to mine it was apparent why this was so.  Plus the 80% score it had does not seem that high based on the information provided.,",3,A8C3WNWRBWUXO
194,50,80,"I looked at race/attractiveness first, and then the bot's suggestions. Most of hte time I trusted the bot.,",5,A212OY08MFDGU3
195,50,80,"I only used the algorithm if I had doubt, I like to trust my abilities.,",5,A1IFF4KV23FGHJ
196,50,80,"Machine learning practitioners often have to select a model from a number of alternatives, requiring them to assess.,",5,A1OZJGZOYEBD3C
197,50,80,"Good survey.,",6,A2YT9HJEU5KTYM
198,80,80,"most of the time we had same predictions but then on those that seemed \nlike a definite answer the machine chose differently like out in left field. ,",4,A3N770LD28YDL1
199,50,80,"it ignored the characteristics that people were looking for ,",4,AWGOCCOVKFBKV
200,50,50,"good survey,",6,A12V9E1PFJB558
201,50,50,"Sometimes the participant really liked their date when at first they thought they wouldnt. Even if the participant liked the date at a 7 or 8 but expected to not like them (around 2 or 3) the computer would say that they wouldnt want to see them again at all. I disagreed, if their final score is high then they would definitely want to.,",4,A1PGU0IWYPUSQ5
202,80,50,"the survey is very nice,",7,A15K078BTVWHGK
203,80,50,"I used my own assumptions based on how much the participant enjoyed his/her date and how close the percentages were based on importance (i.e., good looking, funny, etc..),",4,A3GEHH49HNJM57
204,50,80,"I am not sure the machine can account for how someone can become more attractive based on personality.  ,",2,A37R0JYAB3QEX9
205,50,80,"If I was unsure of what I would choose, I usually went with the machines answer,",4,A3VTOW7WLPTBRR
206,50,50,"I think that the model came off as trustworthy in the particularly ambiguous-feeling results such as those with a fun score of 6and a spread that's kind of close but not really to the participant's perceived desires of a date, but found it hard to believe any time the model would disagree on a date with a high level of enjoyment.,",3,A28P6WY5WP7F9Y
207,80,80,"I think the machine mostly agreed with me so I trust it.,",6,A1TA2I82B8DJSA
208,80,50,"I LIKE THE VERY GOOD SURVEY,",3,ATRNU3YBEHM96
209,50,50,"It was often very wrong from what I thought, and I trust a human more.,",3,AQ4NUYZWCDZ73
210,80,80,"I don't think the machine understands nuance.,",2,APEE4S9XXSMGC
211,80,50,"The predictions made by this machine is a trustworthy.,",4,A32WDYGNXRSKFM
212,80,50,"The machine learning model had a 50% initial success rate, so I'm unsure of it's total accuracy, and couldn't really rely on it during the task.,",3,A3DN8O93O3QJS1
213,80,50,"I didnt trust it that much considering there were many times when I it conflicted with my best judgement so I couldn't take it that seriously.,",4,A3VDG4N48AVYGQ
214,50,50,"I felt that the machine model failed to take into account certain aspects of the person's personality and how they felt of the date overall. It felt like the machine focused more on whether the participant ranked their date's traits in the same order as they preferred them.,",2,A11ZX9XUANWSAU
215,50,80,"I know that I was given the information that the machine learning model is 80% correct, but some of the predictions seemed highly unlikely based on the information I was given about the participants. Why would someone want to see their date again if they didn't like them? (\u003c5 on the liking them information) I guess I should have trusted it more though, given I disagreed with it quite often and it was at least 80% correct.  ,",3,A2GLSQQQE9UZA6
216,50,80,"my best predictions,",3,A3A1PMZDFJD218
217,80,80,"People are weird. However occasionally we fallow patterns. If it said something different I double checked my \math\, if i disagreed I disagreed.,",4,A2TH1TVKZ5Y6UZ
218,80,50,"In some of them, it just seemed as though the machine learning model was flat out wrong (Although I myself could be wrong),",3,A30W987G9S6F0G
219,50,50,"It was hard to trust the predictions after it only got 50% right in the first part, although I still used it as a guide when I was unsure because some were hard to predict on my own.,",2,AH4S22PWE826G
220,80,80,"The machine learning model was only accurate about 80% of the time which makes it unreliable to me.,",2,A38ZV8LBZ034IZ
221,50,50,"good survey,",5,A1I3ZBOV3UBWEF
222,50,50,"I think there are a lot of factors that could play in to whether they go on a date or not and no machine is smart enough to predict that accurately. ,",2,A3DQL1IS7JPEL8
223,50,50,"I feel like it didn't give much insight as to why it picked the way it did.,",4,A3FY6THWKRYN9M
224,50,80,"It often indicated people would want to see people again that didn't fulfill any of their preferred traits when they had a worse experience than predicted.,",2,ARL7HOWLEHNOP
225,50,50,"I have trust the predictions of our machine learning model.,",6,A248XX9O9V58EK
226,50,50,"If the math shows a growth then it is only fair to assume there will be a second chance, and no chance if the numbers go south but i am sure even i am wrong on assuming due to there is always things we dont see between the first and second,",4,A5SPTV3W3DP4B
227,50,50,"Interesting,",6,APUF32V1QEQPU
228,80,80,"Most of the predictions seemed reasonable, but I noticed some that didn't really make sense to me. A success rate of 80 percent is reasonably reliable though.,",6,AA8PZKO9XGCKO
229,50,80,"I think humans are more sensitive in this situation than AI,",3,A1RFH0LZHG2C1R
230,50,50,"some of the answers the machine gave i totally expected the opposite and didn't know where it got the answer from.,",4,A1UH66XLAH3SMZ
231,80,50,"I don't trust algorithms like that, I'd rather make my own choices.,",1,ACCXC5V05C9R9
232,50,80,"some don't seem to relate to some of the ratings the person gave, although usually its in the middle where I didn't agree with the prediction.,",4,A1MJVTR0PCKBWW
