,workerId,trustSurvey,trustFactor
146,A2QP9ZGIW4R7C2,6,","
147,A1ASB21N1NCM6R,5,","
148,A24CJJ7LS82RGD,7,"to understand good,"
149,AOIR8V07FYMH5,3,","
150,A174UGURZYYCWC,5,"I just compared my results and the results of the algorithm ,"
151,A9T6E1VYBII2V,4,","
152,A3E9YVRNEUB9CA,4,"Some of their suggestions seemed off to me.,"
153,AHDZLY0XIQDJA,4,"NO,"
154,A1KBQ30L5IJCAI,6,","
155,A1GR1AQ22RDYL,6,","
156,ALFAN4T0PZ05Z,3,","
157,A11SVF9ZNHO1EW,6,"Based on all the information inputted, the computer should be able to make an accurate prediction that I can trust.,"
158,A2VTY63L3RN75V,3,"I disagreed with the machine prediction in the second half of guesses.,"
159,A1DCOY9748Z78Q,5," In this work, we propose LIME, a novel explanation technique that explains the predictions of any classifier in an interpretable and faithful manner, by learning an interpretable model locally around the prediction.This study is good.I will learn something new.\n,"
160,A3PGUPNMOU5BPW,5,"I think the machine if it has enough data can be valuable. In this case I think it's hard to say because people's expectations can be too low. ,"
161,A2SMPT2VQV8HUI,5,","
162,A3R65BLSCEJL03,6,"I do check their status in this graph and choose which one is date again and not date again,"
163,A18Z9ITSIBQWWA,6,","
164,A1RQDBE1ZFIZ7U,5,","
165,A1MV6LAD657MND,4,","
166,A21SVM7079V6OP,6,"There was one choice where the person ranked their perceived happiness with the person to be a 2 but the machine learning answer was they wanted to see them again. I felt this to be an error. ,"
167,A3SYY5R44RAATE,4,","
168,A2KOECHP94T0TI,5,","
169,A3TJ9YOW72N3Q5,7,"Nice study,"
170,AD1ILDUXZHASF,2,","
171,A24Z9RP5YZZ2TY,3,"During the first half I thought the machine was right most of the time but then was wrong most of the time during the second half.,"
172,A15WNVVFEXD9KB,6,"nice and fun,"
173,A1FLEFIVFT809G,5,","
174,A2CLGYPCKVH59J,3,"There were several times when the learning model did not seem to follow the participant's higher ratings of what was important to them.,"
175,A1LDTJPM3ZDN8B,5,"This is our own decision and helpful.,"
176,A2AQ7WNHRED5TE,3,"dating is to hard to predict with AI. and some of the information doesn't seem to line up with the predictions.,"
177,A3MDT9B5CRRQ0G,4,","
178,AUTZY8VB5S3JW,3,","
179,A3ETK55RNQARKZ,4,"While I think the model is mostly accurate, I'm not sure *how* accurate it actually is yet.,"
180,A3D3MQ814FCE0W,5,"Based the attraction and the interesting rate of the person ,"
181,AP5EH16IVTMCZ,6,","
182,A1V32PABM8W3KZ,4,","
183,AU27L09ZRRTAI,7,","
184,A1UD8IFO0J4GW0,4,"I understand algorithms, but to me you just cannot quantify that thing, that spark that happens between people sometimes. ,"
185,AW1O249VRHIYV,6,"Interesting,"
186,A3G3AIIRPT3R3R,3,"good,"
187,AXPN1QIECOQL0,6,"NICE,"
188,AAM0Q3DCSSQ0A,5,"I feel the algorithm makes well reasoned decisions.,"
189,A3NGDNN139ED2K,6,","
190,A3UKCHVGSRQ6WJ,7,","
191,A3SA537W0EUJB6,5,"GOOD,"
192,AL77G9WNN2V1G,5,"the survey is very inserting answer ,"
193,A39PLWU3RFII1S,5,"It was a hit and miss with some of those dates. I think the computer looked at the attractiveness model more than anything when making a decision, looks arent important MR ROBOT,"
194,A1NUO93OHZREC3,6,"it estimates accurately as possible,"
195,A3RUL1OC4CAINK,5,"I believe that some of the predictions that the machine made, were incorrect.  I believe that some people will settle even for less.  I also think that once you get to know somebody, things change, and the date may be better the second time.  People become more comfortable with each other.,"
196,AMHU1GEX883H0,4,","
197,AOIL8AZLT9WLS,4,","
198,A38V38OZAP6O0,6,"cause it have many combination to work but we human dont use com bination,"
199,AHRM15WHLJRBX,5,"good,"
200,A346XK87GDAX2S,4,","
201,A3QDBNOCH0AVI1,5,","
202,AEOH3JW3JVLZI,6,","
203,A1EMMA8IQZ4JW5,3,","
204,A27Z1AZ0HFQOCI,3,","
205,A15U28Q2V818C2,6,","
206,A2VC7AR8YR5TX1,4,"While information is listed on their preferences pre-date (which is useful to determine what they are looking for generally), there impression of the date is very useful to determine the likelihood they wish to date the person again. Their date may have changed their perceptions of what they were looking for originally. However, to the extent that they have very high numbers in one category or another (including race number), this may still negate any temporary euphoric feelings they may have during the date and convince the participant not to have another date with the person.,"
207,A2RMQ5CCDH4DD1,5,","
208,AFWJT2RB6Y4SZ,4,"IT seemed inconsistant ,"
209,A29YJJRBSB7D8I,6,","
210,A3HDAVWYKABCAV,4,","
211,A3NTQ56P7IZUZU,4,","
212,A2WQCH2LL2ZB0D,7,"this survey is about predicting love at first sight,"
213,A2JV0ESAFE7VXL,4,"People are funny. Sincerity plays a vital part in a person and the desires to willingly see another. Some attributes are skin only, \nbut trueness from the heart does matters.,"
214,A3QUYFX38ANHLH,5,"some of the machines predictions seems off to me but its manageable,"
215,ASQMWBMF2RYUM,4,"good,"
216,A2AJWJ8D4AC2G1,4,"nice,"
217,A39OAN4S48WRIP,5,","
218,A248XX9O9V58EK,7,"well,"
219,A25Z3FX14XLSP0,3,","
220,A1U69QDM8UIXZ5,3,"I think in the first half it predicted a lot better than the second part. It seemed to think that people who rated their date low in happiness wanted to see that person again just cause they were attractive or met another field, but as a human I didn't feel that way. Why would you go on a date your think you won't be happy on? ,"
221,AEJ9BGSZT2EJR,4,"Yes,"
222,A2SV6TAIJO32BX,4,","
223,A3Q5EDIWUQGMYB,5,","
224,A3M2HNLXQR2AAV,4,"I went with me decisions based on the info given in the graphs, regardless of the machine learning model predicted.,"
225,A2W03M8QHUU0IT,4,"Some of it just did not seem to align.,"
226,A2S4IUP2XK40ES,3,","
227,AG8NOMLGTJDTR,6,"Because,  I make my decision are correclty.,"
228,AVMRJOB0ZA7PB,4,","
229,A12FTSX85NQ8N9,4,"I think it is a good way to double check your own choices, to make sense to yourself why the machine might disagree with you and then make sure your opinion is valid. But I wouldn't let it chose unchecked, because it's such a subjective thing, regardless of the data provided.,"
230,A2A4Q3XU50SBE2,2,"I don't understand how it works and the examples never demonstrated how accurate it is.,"
231,AI2HVOKDEHK2F,5,"good,"
232,A38FD9ENNIH98E,3,","
233,A2QQFGD7K7AHK8,5,","
234,A2QJ8Y4J9M28UC,6,"Interesting,"
235,A2LMM3Y4MYE97S,5,"I felt the machine learning model underestimated the importance of the attributes of the date.,"
236,AQ1PTX596CKUH,6,"Because it is more technical,"
237,A2HKOIQT8JTIL9,7,"very nice to read,"
238,A2WLJ1HP2WU9MZ,7,"This machine learning model is very useful and interesting one.,"
239,APYDJN5TZN2LW,2,"Good,"
240,A2EGVA0ZQMDREH,5,","
241,AGJOSG48DM56Y,3,"4,"
242,AVPCUQOQEPTCI,4,","
243,A3FKEMHRTXPWMN,5,"I felt the AI was a bit inconsistent based on the statistics shown on the profile. Some of the more sought after personal traits had high ratings and at times it seemed like that didn't matter to the AI when other preferences seemed to match up with the pair. It seemed good overall, but some minor quirks that may need to be worked out.,"
244,A3ABAYPIXFEJ7O,4,","
245,A229P2RGMNP3X7,5,"I trust it to some extent however, a model cannot predict human emotions thus making me disagree with some of its predictions. ,"
246,A3OITERGPA20M4,6,"good,"
247,A16OM48LQWOBKP,5,"I believe the machine would be more rational an logical. So I'm trust it. The machine also made a lot of correct decisions,"
248,AW9EDKKC3T76Q,1,"I did not trust the predictions because I am not sure how the machine learning model comes up with its predictions.,"
249,A2HXCODDATMAM6,6,"GOOD,"
250,A2KTV4TM0075V,7,"very nice ,"
251,A3K36OLIGLEP6D,5,"I trusted my predictions but when the machine did theirs it made me question a few of my choices.,"
252,A3K1UDTFV5RGH,6,","
253,AZLRPIAD0ZHAA,6,"To a large extent the model seems to respond based on the the facts of choice of the individual in relation to their paired partners,"
254,A289D98Z4GAZ28,6,"The model was designed for this task so it is more able to compute the best matches.,"
255,A8E7N3LI9BGAF,4,","
256,A1R9PH4LOMKZ13,3,"I felt a machine cannot always predict a persons tastes in what they like or always accurate show what humans desire in one another. ,"
257,AJYZ3RG5I8STX,6,"The predictions was feels true,"
258,ANKUO1ZQZ517S,4,","
259,,2,"aaaaa,"
260,A2DU0TGJDZWUCV,2,"I am not sure of the computer's 'reasoning' analysis.  It seems to me that expectations in correlation to date grade is important for determining whether one will see a person again.  I didn't see consistency on this with the machine.,"
261,A21TBK48OBJYSX,7,"Interesting,"
262,A26N45Z904ES72,7,","
263,A3J801HAKE16VZ,7,"I simply trust the machine learning model based on the few questions,"
264,A2KWADVDUGF4JG,2,"I think it was 50/50, not totally accurate,"
265,A2FIMX1INRS3OG,6,","
266,A3HMMKTJSG5C64,4,"this machine is not accurate at all bc its not based on data thats provided,"
267,A1VLFVGSSG19P4,5,"very good,"
268,AACUQBXCT9XX9,6,"Good,"
269,A3BA2XUGC78RPN,3,","
270,A1Z2QEEPKEK1X1,7,","
271,ADGGBT9FSNCD4,5,","
272,A26ST4UX73VPLW,6,","
273,A3MWV912LNFD67,4,"In some cases it seemed iffy. In some cases it chose they would see again where I thought they wouldn't. Mainly in\niffy situations. Such as a ranking of 6. It may have been right but could have just as equally been wrong.,"
274,A22RSII2RKZ4T3,7,"good,"
275,A14VD24TWW6NXW,4,","
276,A386U6K4J1ANQI,3,","
277,A1Y9D4RKC3BZQ3,5,","
278,AITLTT4ZKSZIM,4,","
279,AS91F4YZQLDIF,3,","
280,A2VB8KX3XUA6WU,6,"Didn't seem to weigh age difference or preference for same race enough.,"
281,A3OYFV8J7YXU7U,3,"Good,"
282,A2RX8SGAXGDLZ2,5,","
283,A3KCFTR0HWOH46,5,","
284,AP5EH16IVTMCZ,4,"well,"
285,AMA748CSK6Y62,4,","
286,ARAAV1GIBXYWO,3,"It disagreed with me too many times,"
287,AQ4C8KG75JB2X,5,"Good ,"
288,A3914P24XPNPY3,4,","
289,A3HUW4JGUY1O8U,5,"good,"
290,AVPWEUVWJPRXQ,6,","
291,A1SETQLJM04TZS,4,"difficult to see how the algorithm was formed,"
292,A34X1QLS6EJ725,5,","
293,A1AS4S7BOJPOEY,5,","
294,AWMQJBTBQB8AX,5,"For the most part I trusted the machine learning model and we also matched a lot of the time. However, there was times where I would disagree with the machine because of the rating of the date and the opinions of the date. A machine is not always going to be accurate in human thought and emotion. Only a human can truly understand that.,"
295,A3DUPRZSMU9W5R,4,","
296,A18580L4R47FC5,6,","
297,A1XCD78DIGGURQ,3,"good,"
298,A2TL3T4IX6CJX3,6,","
299,A286W816CMIZL9,5,"sometimes the model seemed to be off based on the percentages of preferable qualities identified. There didn't seem to be a correlation sometimes when the numbers were high on the bar graph ,"
300,A32TD8PUVW3UNJ,4,"I felt like it disagreed with me more in the second half while I was still using pretty much the same criteria.,"
301,AOY8B665POTJL,6,"great,"
302,A18GO1RWCG10OI,5,"goof,"
303,A3KWDWJS73KEJ0,2,","
304,A1P8TUHKN8M62X,4,"Some times the ratings differed from the ones in the first half of the trial. I believe the machine is inaccurate at times or during the second half of the trial.,"
305,A2EHZXR4AKNGJN,5,"NA,"
306,A23TM3PM0WD3WX,4,"The learning model isn't perfect.,"
307,A3SXV3VD8DJ0YX,5,"It disagreed with me on 2-3 ones where I felt it very obvious that I was correct based on the numbers.,"
308,A1GJJVIXCTTCLH,6,"good,"
309,A37N3YP7GUDNGH,6,","
310,A3XQEYEOLSKJN,6,","
311,A3JWOB5IEJCDZC,5,","
312,A8FTJT8WT1986,7,","
313,A2THN8O1IQIRP7,5,"Some of the model's predictions really didn't make sense to me, so I kinda vetoed them, but for the most part it was useful and I agreed with it, especially on people that I wasn't totally sure about.,"
314,AEKJGGRKT7NDU,5,","
315,A39PRBPSKA7A49,4,"I felt that the model didn't account enough for the fact that women are pickier than men. But besides that I think the model was pretty good.,"
316,A37025YQUW9ACI,6,"nice,"
317,A1NR35BTQ3ZPJF,5,","
318,A2JJF5OFND2KL5,5,","
319,A379F1RR5E3SVU,5,","
320,A1N3VEALNFDG3S,4,"Machine can be wrong sometimes,"
321,A1ZJE1T7Q75321,5,"I felt more confident in my selection than the machine learning model in some instances but it was nice to see it was in agreement with me for most of them.,"
322,A3I0ITCG0HKFFZ,2,","
323,A1K2A46I18MO46,7,"due to the percentage of the fun the participant had and how much he liked his date,"
324,A36XKKUH5TKF7U,6,"i somewhat trust the machine prediction but i still think anything below 7% happy about the date is not good enough,"
325,A53S7J4JGWG38,1,"The machine did not seem to have any logic behind it or look at the critical values, improvements after the date.,"
326,A2C9NR5DY668JU,4,","
327,A3QEVFM3UD67BA,3,"I do not completely trust it because I paid attention to the opinions of the participant and I wanted to reflect his/her wishes. If the dater seemed to be content with their date, then I assume they would want to see the person agai.,"
328,A2I098TGLXCB5C,3,","
329,A31B6994BTRRU5,5,","
330,A3NJBMQF24TLGO,6,"I feel very like it ,i like this survey,"
331,AZT67UO4H3EAW,2,"The machine learning model often conflicted with my educated guess of how the person would like the date.  After about number 10 I mostly ignored the predictions.,"
332,A2OOGRWLEWNBDO,5,","
333,A3HO117NQN73GE,7,","
334,A2U5DWGXEAIWYE,6,","
335,A24M9OW53CLT94,4,","
336,A13E5PRJDTXONQ,3,"\Why Should I Trust You?\ Explaining the Predictions of Any Classifier. ... In this work, we propose LIME, a novel explanation technique that explains the predictions of any classifier in an interpretable and faithful manner, by learning an interpretable model locally around the prediction.\n,"
337,A1VXDD6BFF97OF,4,","
338,A1JMT7TW15X73N,2,","
339,AE27VM62ZS0YV,6,","
340,A1YOGKWHTYEADY,5,","
341,A2RHJT0OMA09YH,2,"They would sometimes assume that the person wanted to see their date again even though the statistics showed that the person did not like the date they were on.,"
342,A1N956KBC4G13I,4,"well,"
343,A2MUOR5H62S8OG,5,","
344,A1MSLM87Z8CLTK,4,"I would normally be inclined to trust the algorythm more. However, I started to doubt it when it seemed to make predictions that seemed very unlikely to me. ,"
345,AT8SAYP8NDPYA,5,","
346,A1FI8RYU0LZNMD,6,"very good ,"
347,A2VZIJ7AZ537QP,2,","
348,A2QUXO9OJY69QM,5,","
349,A2E6M0HT4FZ8Z3,5,"I feel like it disagreed with me more in the second half of the predictions. I don't know if that was by experimental design or what, but I felt like I trust it less now than at the midway point,"
350,AY6605D273DW1,5,"I believe the model's weighting is off, and may be relying a bit too much on participant self-reporting of preferences over what previous study might show are actual preferences/weights thereof.,"
351,A2B3THVUZEW1AL,5,"It is a machine, an algorithm. I trust my judgement more.,"
352,AEJ9BGSZT2EJR,4,"Yes,"
353,A55T16DTWY2WC,3,"I felt that the machine guessed wrong at most of the dates compared to the graphs and charts that I saw.  I usually just went by the graphs and charts for my predication, and didn’t really use the machine for my answers.,"
354,A1I7H6RDJS4EKN,3,"I trust my judgement and I disagreed with the machine learning model too many times. Therefore I can not trust the machine's predictions.,"
355,A2WYUG5PTNXZNT,6,","
356,A9IVKB32DAYBS,5,"It seemed it agreed with me most of the time so it could be reliable,"
357,ATP2BJPDK4K2B,4,"It just seemed random. It didn't provide any explanation as to why or how it chose.,"
358,A23A1WMFNPETYQ,5,","
359,A1G452MFAS690B,3,"I think looking at the reasoning of liking/not liking the date is a better indication that the machine cannot account for. ,"
360,A3O70GCBDFLQMJ,5,","
361,A1B5SSGMTAQ9B5,5,","
362,AHDZLY0XIQDJA,3,"no,"
363,A1HMS8OBOCU4XM,5,","
364,A1LEC9PYYYXM1U,4,"good,"
365,A1CUDX7TTS2W61,5,"Sometimes i just didnt agree with the machines predictions honestly some of them just didn't make sense to me. for the most part they seemed accurate though.,"
366,A3EWTW55UCNAHG,3,","
367,A2VLVB9EI1D9B,4,"This is value of the survey ,"
368,A1W88DFV19WHAC,6,"Good survey.,"
369,AJ6QCYY26SCV2,3,"There were numerous times where the Participant rated their date very highly, but with traits, and overall, and the machine learning model said they wouldnt have a second date. There were other times where the two people were not a good match at all, and the model said they would have a second date. Most of the times, it defied logic.,"
370,A2DVT1QU9ZKVQB,5,"I felt like I had to go with some objective ratings of the dates, which at times disagreed with the model. Where I found the model (potentially) helpful was when it was a tossup - I diverted to the prediction in that case.,"
371,A11G2VFRF4FMPX,7,"I trust the machine learning model because it was almost always the same selection as myself and I understood the information very well. This gave me confidence in the selections since they almost always were the same as my own. I placed even more confidence in the model because when it selected something other than me, I chose the model's selection instead of my own.,"
372,A12W1NVUJH9SCP,3,"There were some questions where it was obvious the answer should be \yes\ and they chose \no,\ so my guess is that they just chose randomly.,"
373,AZ5NJACXICSZV,5,","
374,A2AE610UE18R8G,6,","
375,A1TBRQBLEJI3O5,5,","
376,A3KC385CZNYEG5,4,"It's a strictly numerical, statistical analysis, right. It doesn't actually account for empathy or psychology, which can override quantitative factors in ways that are difficult to fully observe or account for in a simple algorithm. ,"
377,A1W7I6FN183I8F,4,"I somewhat trusted the predictions from the learning model. More often than not, it came to the same conclusions as me. However, there were instances in which I felt it was completely off. As such, when the learning model did disagree with my own predictions, it made me re-evaluate a few of my conclusions.  ,"
378,AVYUXW572ZNO6,7,"good,"
379,A2O4TQTT57L48Q,4,"There were some that the machine learning model agreed with me on, but some where it disagreed and I couldn't seem to see a valid explanation for why it would have made that prediction. If it was an ambiguous one, it makes sense that we might disagree, but on the clear-cut ones, it makes no sense,"
380,A5X74I5OICJT9,5,","
381,A1E0A0XED4990W,7,","
382,A23VWLX98JNB0Z,5,","
383,A1RVPFV5X3EVTM,5,"i trust the predictions for confidence level,"
384,A1QHX8206URBEZ,4,"I trusted the opinions of the machine learning model because most of the time I agreed with it and it allowed me a second thought if I was correct or not. At some times I did disagree with the machine, but overall we had the same choices. ,"
385,A16TH68KJQZXKC,2,","
386,A1DRAA8L5ENVK0,5,","
387,AQHYV84M62W8F,2,"I think it was on point most of the time but a couple of times it just didn't make sense to me. ,"
388,A114INA2S32A8L,1,"Some of the model's predictions couldn't possibly have been correct because the metrics were all below 5, yet the model predicted that the subject would want to date again. It didn't make sense. The only thing the machine prediction did was prompt me to review my answer if the prediction differed.,"
389,A17JJSJ85E2NVZ,4,"very nice,"
