gender,age,age_o,race,race_o,samerace,importance_same_race,importance_same_religion,field,pref_o_attractive,pref_o_sincere,pref_o_intelligence,pref_o_funny,pref_o_ambitious,pref_o_shared_interests,attractive_important,sincere_important,intelligence_important,funny_important,ambition_important,shared_interests_important,attractive,sincere,intelligence,funny,ambition,attractive_partner,sincere_partner,intelligence_partner,funny_partner,ambition_partner,shared_interests_partner,sports,tvsports,exercise,dining,museums,art,hiking,gaming,clubbing,reading,tv,theater,movies,concerts,music,shopping,yoga,interests_correlate,expected_happy_with_sd_people,like,decision
female,23,23,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,30,5,15,40,5,5,20,20,20,20,10,10,7,8,9,7,8,8,10,7,10,7,10,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.18,1,8,1
female,23,24,European/Caucasian-American,'Latino/Hispanic American',0,1,1,Law,30,10,20,10,10,20,20,20,20,20,10,10,7,8,9,7,8,6,9,8,9,8,9,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.21,1,7,0
female,23,25,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,50,0,30,10,0,10,20,20,20,20,10,10,7,8,9,7,8,5,10,8,4,8,2,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.37,1,4,0
female,23,30,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,35,15,25,10,5,10,20,20,20,20,10,10,7,8,9,7,8,7,10,10,7,10,5,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.35,1,5,0
female,23,27,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,33.33,11.11,11.11,11.11,11.11,22.22,20,20,20,20,10,10,7,8,9,7,8,5,9,9,5,9,7,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,0.15,1,6,0
female,23,28,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,50,0,25,10,0,15,20,20,20,20,10,10,7,8,9,7,8,9,8,10,10,7,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.47,1,8,1
female,23,24,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,100,0,0,0,0,0,20,20,20,20,10,10,7,8,9,7,8,8,9,10,10,8,8,1,1,6,7,6,7,7,5,7,7,7,9,7,8,7,1,8,-0.19,1,10,1
female,23,27,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,law,35,20,20,20,0,5,10,25,20,25,5,15,5,7,8,9,5,6,9,7,6,7,6,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.33,4,6,1
female,23,22,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,law,60,0,0,40,0,0,10,25,20,25,5,15,5,7,8,9,5,6,9,9,6,8,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.37,4,7,1
female,23,22,'Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American',1,1,1,law,19,18,19,18,14,12,10,25,20,25,5,15,5,7,8,9,5,4,7,9,4,3,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,-0.51,4,6,0
female,23,23,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,law,30,5,15,40,5,5,10,25,20,25,5,15,5,7,8,9,5,8,6,7,8,2,8,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.12,4,9,1
female,23,24,'Asian/Pacific Islander/Asian-American','Latino/Hispanic American',0,1,1,law,30,10,20,10,10,20,10,25,20,25,5,15,5,7,8,9,5,5,4,8,8,4,2,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.35,4,4,0
female,23,25,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,law,50,0,30,10,0,10,10,25,20,25,5,15,5,7,8,9,5,3,7,6,1,1,1,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.19,4,2,0
female,23,30,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,law,35,15,25,10,5,10,10,25,20,25,5,15,5,7,8,9,5,8,8,8,8,3,4,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.47,4,8,1
female,23,27,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,law,33.33,11.11,11.11,11.11,11.11,22.22,10,25,20,25,5,15,5,7,8,9,5,4,8,9,2,8,3,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.03,4,5,0
female,23,28,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,law,50,0,25,10,0,15,10,25,20,25,5,15,5,7,8,9,5,7,6,8,8,6,9,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.46,4,9,1
female,23,24,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,1,1,law,100,0,0,0,0,0,10,25,20,25,5,15,5,7,8,9,5,8,9,9,9,10,7,10,8,9,7,8,7,9,2,6,9,2,5,6,6,4,1,1,0.43,4,9,1
female,22,27,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,Law,35,20,20,20,0,5,15,15,25,20,15,10,6,6,5,7,7,4,8,8,5,7,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.19,7,7,0
female,22,22,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,Law,60,0,0,40,0,0,15,15,25,20,15,10,6,6,5,7,7,6,6,8,4,9,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.21,7,7,0
female,22,22,'Asian/Pacific Islander/Asian-American','Asian/Pacific Islander/Asian-American',1,2,4,Law,19,18,19,18,14,12,15,15,25,20,15,10,6,6,5,7,7,3,6,8,7,8,8,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.52,7,7,0
female,22,23,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,Law,30,5,15,40,5,5,15,15,25,20,15,10,6,6,5,7,7,7,8,8,7,7,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.46,7,8,1
female,22,24,'Asian/Pacific Islander/Asian-American','Latino/Hispanic American',0,2,4,Law,30,10,20,10,10,20,15,15,25,20,15,10,6,6,5,7,7,4,7,7,4,8,5,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.27,7,5,0
female,22,25,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,Law,50,0,30,10,0,10,15,15,25,20,15,10,6,6,5,7,7,4,8,7,4,5,4,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.59,7,5,0
female,22,30,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,Law,35,15,25,10,5,10,15,15,25,20,15,10,6,6,5,7,7,7,7,8,7,7,7,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.31,7,8,1
female,22,27,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,Law,33.33,11.11,11.11,11.11,11.11,22.22,15,15,25,20,15,10,6,6,5,7,7,5,7,8,5,9,5,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,0.08,7,5,0
female,22,28,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,Law,50,0,25,10,0,15,15,15,25,20,15,10,6,6,5,7,7,6,6,8,8,8,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.34,7,6,1
female,22,24,'Asian/Pacific Islander/Asian-American',European/Caucasian-American,0,2,4,Law,100,0,0,0,0,0,15,15,25,20,15,10,6,6,5,7,7,8,6,7,7,8,6,5,3,4,10,10,10,2,3,8,8,8,10,10,10,10,10,10,-0.16,7,7,1
female,26,27,Other,European/Caucasian-American,0,1,1,'Masters in Public Administration',35,20,20,20,0,5,20,10,20,30,10,10,7,6,10,7,7,8,10,9,8,7,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.19,6,5,1
female,26,22,Other,European/Caucasian-American,0,1,1,'Masters in Public Administration',60,0,0,40,0,0,20,10,20,30,10,10,7,6,10,7,7,10,10,10,10,10,10,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.03,6,10,1
female,26,22,Other,'Asian/Pacific Islander/Asian-American',0,1,1,'Masters in Public Administration',19,18,19,18,14,12,20,10,20,30,10,10,7,6,10,7,7,5,10,10,6,6,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.68,6,8,1
female,26,23,Other,European/Caucasian-American,0,1,1,'Masters in Public Administration',30,5,15,40,5,5,20,10,20,30,10,10,7,6,10,7,7,10,9,8,8,7,7,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.26,6,7,1
female,26,24,Other,'Latino/Hispanic American',0,1,1,'Masters in Public Administration',30,10,20,10,10,20,20,10,20,30,10,10,7,6,10,7,7,5,10,8,8,5,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.01,6,5,1
female,26,25,Other,European/Caucasian-American,0,1,1,'Masters in Public Administration',50,0,30,10,0,10,20,10,20,30,10,10,7,6,10,7,7,8,9,9,7,6,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.42,6,6,1
female,26,30,Other,European/Caucasian-American,0,1,1,'Masters in Public Administration',35,15,25,10,5,10,20,10,20,30,10,10,7,6,10,7,7,6,8,9,6,6,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.21,6,7,1
female,26,27,Other,European/Caucasian-American,0,1,1,'Masters in Public Administration',33.33,11.11,11.11,11.11,11.11,22.22,20,10,20,30,10,10,7,6,10,7,7,6,7,8,7,9,6,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,0.1,6,7,1
female,26,28,Other,European/Caucasian-American,0,1,1,'Masters in Public Administration',50,0,25,10,0,15,20,10,20,30,10,10,7,6,10,7,7,8,5,5,6,5,5,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.35,6,7,1
female,26,24,Other,European/Caucasian-American,0,1,1,'Masters in Public Administration',100,0,0,0,0,0,20,10,20,30,10,10,7,6,10,7,7,7,8,7,8,7,8,4,3,1,8,6,7,2,2,10,8,8,10,10,9,9,8,3,-0.23,6,8,1
male,27,21,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,7,3,Finance,15,20,20,15,15,15,35,20,20,20,0,5,8,9,7,8,5,6,8,8,8,8,6,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.14,7,7,0
male,27,24,European/Caucasian-American,European/Caucasian-American,1,7,3,Finance,45,5,25,20,0,5,35,20,20,20,0,5,8,9,7,8,5,8,7,6,9,7,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.29,7,7,0
male,27,25,European/Caucasian-American,European/Caucasian-American,1,7,3,Finance,35,10,35,10,10,0,35,20,20,20,0,5,8,9,7,8,5,7,8,6,5,8,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,-0.24,7,5,0
male,27,23,European/Caucasian-American,European/Caucasian-American,1,7,3,Finance,20,20,20,20,10,10,35,20,20,20,0,5,8,9,7,8,5,6,7,8,7,7,5,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,-0.18,7,6,0
male,27,21,European/Caucasian-American,European/Caucasian-American,1,7,3,Finance,20,5,25,25,10,15,35,20,20,20,0,5,8,9,7,8,5,6,8,8,8,7,6,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,-0.43,7,6,0
male,27,23,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,7,3,Finance,10,25,20,25,5,15,35,20,20,20,0,5,8,9,7,8,5,7,9,8,9,8,4,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.33,7,7,0
male,27,22,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,7,3,Finance,15,15,25,20,15,10,35,20,20,20,0,5,8,9,7,8,5,7,8,8,8,7,7,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.19,7,7,0
male,27,25,European/Caucasian-American,European/Caucasian-American,1,7,3,Finance,9.09,18.18,27.27,18.18,18.18,9.09,35,20,20,20,0,5,8,9,7,8,5,8,7,6,6,6,5,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,-0.03,7,7,0
male,27,26,European/Caucasian-American,Other,0,7,3,Finance,20,10,20,30,10,10,35,20,20,20,0,5,8,9,7,8,5,6,8,7,8,7,5,8,7,2,6,7,5,5,5,4,9,2,4,8,7,8,5,1,0.19,7,6,0
male,22,21,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,1,1,Law,15,20,20,15,15,15,60,0,0,40,0,0,9,9,9,10,9,7,8,10,7,7,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,0.54,7,8,0
male,22,24,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,45,5,25,20,0,5,60,0,0,40,0,0,9,9,9,10,9,7,6,10,6,6,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,0.18,7,8,0
male,22,25,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,35,10,35,10,10,0,60,0,0,40,0,0,9,9,9,10,9,6,7,10,6,6,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,-0.14,7,7,0
male,22,23,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,20,20,20,20,10,10,60,0,0,40,0,0,9,9,9,10,9,6,5,10,6,6,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,-0.18,7,6,0
male,22,21,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,20,5,25,25,10,15,60,0,0,40,0,0,9,9,9,10,9,6,7,10,7,6,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,0,7,7,0
male,22,23,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,1,1,Law,10,25,20,25,5,15,60,0,0,40,0,0,9,9,9,10,9,6,8,10,6,7,6,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,0.37,7,7,0
male,22,22,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,1,1,Law,15,15,25,20,15,10,60,0,0,40,0,0,9,9,9,10,9,7,9,10,6,6,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,0.21,7,8,1
male,22,25,European/Caucasian-American,European/Caucasian-American,1,1,1,Law,9.09,18.18,27.27,18.18,18.18,9.09,60,0,0,40,0,0,9,9,9,10,9,8,8,10,7,6,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,-0.11,7,9,1
male,22,26,European/Caucasian-American,Other,0,1,1,Law,20,10,20,30,10,10,60,0,0,40,0,0,9,9,9,10,9,8,8,10,7,6,5,9,7,9,8,7,6,3,3,5,6,6,4,7,7,9,5,5,0.03,7,8,1
male,25,21,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,9,2,Business,15,20,20,15,15,15,50,0,30,10,0,10,6,6,8,8,6,7,7,8,8,7,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,0.25,7,7,1
male,25,24,European/Caucasian-American,European/Caucasian-American,1,9,2,Business,45,5,25,20,0,5,50,0,30,10,0,10,6,6,8,8,6,7,8,7,5,7,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,0.73,7,7,1
male,25,25,European/Caucasian-American,European/Caucasian-American,1,9,2,Business,35,10,35,10,10,0,50,0,30,10,0,10,6,6,8,8,6,7,6,6,6,6,6,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,-0.3,7,6,1
male,25,23,European/Caucasian-American,European/Caucasian-American,1,9,2,Business,20,20,20,20,10,10,50,0,30,10,0,10,6,6,8,8,6,6,6,7,7,8,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,0.37,7,6,1
male,25,21,European/Caucasian-American,European/Caucasian-American,1,9,2,Business,20,5,25,25,10,15,50,0,30,10,0,10,6,6,8,8,6,5,8,7,7,7,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,0.06,7,6,0
male,25,23,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,9,2,Business,10,25,20,25,5,15,50,0,30,10,0,10,6,6,8,8,6,6,6,8,8,8,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,0.19,7,6,1
male,25,22,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,9,2,Business,15,15,25,20,15,10,50,0,30,10,0,10,6,6,8,8,6,8,8,8,6,6,6,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,0.59,7,7,1
male,25,25,European/Caucasian-American,European/Caucasian-American,1,9,2,Business,9.09,18.18,27.27,18.18,18.18,9.09,50,0,30,10,0,10,6,6,8,8,6,8,7,7,7,8,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,0.28,7,7,1
male,25,26,European/Caucasian-American,Other,0,9,2,Business,20,10,20,30,10,10,50,0,30,10,0,10,6,6,8,8,6,6,6,7,8,7,7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,0.42,7,6,1
male,30,21,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,1,1,'political science',15,20,20,15,15,15,35,15,25,10,5,10,7,7,6,8,4,3,6,7,5,8,7,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,0.34,4,2,0
male,30,24,European/Caucasian-American,European/Caucasian-American,1,1,1,'political science',45,5,25,20,0,5,35,15,25,10,5,10,7,7,6,8,4,5,3,4,3,5,3,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,0.6,4,4,0
male,30,25,European/Caucasian-American,European/Caucasian-American,1,1,1,'political science',35,10,35,10,10,0,35,15,25,10,5,10,7,7,6,8,4,6,3,5,4,5,4,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,-0.26,4,2,0
male,30,23,European/Caucasian-American,European/Caucasian-American,1,1,1,'political science',20,20,20,20,10,10,35,15,25,10,5,10,7,7,6,8,4,7,6,3,5,6,5,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,0.35,4,6,1
male,30,21,European/Caucasian-American,European/Caucasian-American,1,1,1,'political science',20,5,25,25,10,15,35,15,25,10,5,10,7,7,6,8,4,2,3,4,4,5,3,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,-0.05,4,3,0
male,30,23,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,1,1,'political science',10,25,20,25,5,15,35,15,25,10,5,10,7,7,6,8,4,5,6,8,4,5,4,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,0.47,4,3,0
male,30,22,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,1,1,'political science',15,15,25,20,15,10,35,15,25,10,5,10,7,7,6,8,4,7,6,5,4,4,3,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,0.31,4,5,0
male,30,25,European/Caucasian-American,European/Caucasian-American,1,1,1,'political science',9.09,18.18,27.27,18.18,18.18,9.09,35,15,25,10,5,10,7,7,6,8,4,6,4,7,5,6,4,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,0.05,4,4,0
male,30,26,European/Caucasian-American,Other,0,1,1,'political science',20,10,20,30,10,10,35,15,25,10,5,10,7,7,6,8,4,8,6,7,8,6,5,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,0.21,4,8,1
male,27,21,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,8,8,Business,15,20,20,15,15,15,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,6,7,5,6,8,6,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,0.5,5,7,0
male,27,24,European/Caucasian-American,European/Caucasian-American,1,8,8,Business,45,5,25,20,0,5,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,7,7,7,7,7,5,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,0.07,5,7,1
male,27,25,European/Caucasian-American,European/Caucasian-American,1,8,8,Business,35,10,35,10,10,0,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,4,5,6,4,6,4,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,0.29,5,5,0
male,27,23,European/Caucasian-American,European/Caucasian-American,1,8,8,Business,20,20,20,20,10,10,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,6,7,8,6,6,5,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,0.15,5,7,0
male,27,21,European/Caucasian-American,European/Caucasian-American,1,8,8,Business,20,5,25,25,10,15,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,5,5,6,5,5,5,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,0.07,5,6,0
male,27,23,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,8,8,Business,10,25,20,25,5,15,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,6,7,8,7,8,5,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,0.03,5,7,0
male,27,22,European/Caucasian-American,'Asian/Pacific Islander/Asian-American',0,8,8,Business,15,15,25,20,15,10,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,8,7,6,7,7,5,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,0.08,5,7,1
male,27,25,European/Caucasian-American,European/Caucasian-American,1,8,8,Business,9.09,18.18,27.27,18.18,18.18,9.09,33.33,11.11,11.11,11.11,11.11,22.22,6,8,6,8,9,9,8,8,8,7,5,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,0.17,5,7,1
